Rohwer2001_Sucrose[Time]	Fru[ParticleNumber]	Glc[ParticleNumber]	HexP[ParticleNumber]	Suc6P[ParticleNumber]	Suc[ParticleNumber]	Sucvac[ParticleNumber]	glycolysis[ParticleNumber]	phos[ParticleNumber]	UDP[ParticleNumber]	ADP[ParticleNumber]	ATP[ParticleNumber]	Glcex[ParticleNumber]	Fruex[ParticleNumber]	cell[Volume]
0	6.02214e+020	6.02214e+020	6.02214e+020	6.02214e+020	6.02214e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.01	6.03225e+020	6.03169e+020	6.03647e+020	5.99491e+020	6.04706e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.02	6.04237e+020	6.04123e+020	6.05079e+020	5.96769e+020	6.07195e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.03	6.05249e+020	6.05079e+020	6.06511e+020	5.94049e+020	6.09682e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.04	6.06262e+020	6.06035e+020	6.07943e+020	5.9133e+020	6.12168e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.05	6.07276e+020	6.06991e+020	6.09374e+020	5.88612e+020	6.14651e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.06	6.0829e+020	6.07948e+020	6.10804e+020	5.85896e+020	6.17132e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.07	6.09304e+020	6.08906e+020	6.12235e+020	5.8318e+020	6.19611e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.08	6.10319e+020	6.09864e+020	6.13664e+020	5.80467e+020	6.22088e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.09	6.11335e+020	6.10822e+020	6.15093e+020	5.77754e+020	6.24563e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.1	6.12351e+020	6.11781e+020	6.16522e+020	5.75043e+020	6.27036e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.11	6.13367e+020	6.12741e+020	6.1795e+020	5.72333e+020	6.29506e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.12	6.14384e+020	6.137e+020	6.19378e+020	5.69625e+020	6.31975e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.13	6.15402e+020	6.14661e+020	6.20805e+020	5.66918e+020	6.34441e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.14	6.1642e+020	6.15622e+020	6.22232e+020	5.64212e+020	6.36906e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.15	6.17439e+020	6.16584e+020	6.23658e+020	5.61508e+020	6.39368e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.16	6.18458e+020	6.17545e+020	6.25084e+020	5.58805e+020	6.41828e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.17	6.19478e+020	6.18508e+020	6.26509e+020	5.56104e+020	6.44285e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.18	6.20499e+020	6.19471e+020	6.27934e+020	5.53404e+020	6.46741e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.19	6.21519e+020	6.20434e+020	6.29358e+020	5.50706e+020	6.49194e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.2	6.22541e+020	6.21398e+020	6.30782e+020	5.48008e+020	6.51646e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.21	6.23563e+020	6.22363e+020	6.32206e+020	5.45313e+020	6.54095e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.22	6.24585e+020	6.23328e+020	6.33629e+020	5.42619e+020	6.56542e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.23	6.25608e+020	6.24293e+020	6.35051e+020	5.39926e+020	6.58986e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.24	6.26632e+020	6.25259e+020	6.36473e+020	5.37235e+020	6.61429e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.25	6.27656e+020	6.26226e+020	6.37894e+020	5.34545e+020	6.63869e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.26	6.2868e+020	6.27193e+020	6.39315e+020	5.31857e+020	6.66307e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.27	6.29705e+020	6.2816e+020	6.40736e+020	5.29171e+020	6.68743e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.28	6.30731e+020	6.29128e+020	6.42156e+020	5.26486e+020	6.71176e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.29	6.31757e+020	6.30096e+020	6.43576e+020	5.23802e+020	6.73608e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.3	6.32783e+020	6.31065e+020	6.44995e+020	5.21121e+020	6.76037e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.31	6.3381e+020	6.32034e+020	6.46413e+020	5.1844e+020	6.78463e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.32	6.34838e+020	6.33004e+020	6.47831e+020	5.15762e+020	6.80887e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.33	6.35866e+020	6.33974e+020	6.49249e+020	5.13085e+020	6.83309e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.34	6.36895e+020	6.34945e+020	6.50666e+020	5.10409e+020	6.85729e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.35	6.37924e+020	6.35916e+020	6.52083e+020	5.07736e+020	6.88146e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.36	6.38953e+020	6.36888e+020	6.53499e+020	5.05064e+020	6.90561e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.37	6.39984e+020	6.3786e+020	6.54915e+020	5.02393e+020	6.92974e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.38	6.41014e+020	6.38833e+020	6.5633e+020	4.99724e+020	6.95384e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.39	6.42045e+020	6.39806e+020	6.57745e+020	4.97057e+020	6.97792e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.4	6.43077e+020	6.4078e+020	6.59159e+020	4.94392e+020	7.00197e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.41	6.44109e+020	6.41754e+020	6.60572e+020	4.91729e+020	7.026e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.42	6.45142e+020	6.42728e+020	6.61986e+020	4.89067e+020	7.05001e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.43	6.46175e+020	6.43703e+020	6.63398e+020	4.86407e+020	7.07399e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.44	6.47208e+020	6.44678e+020	6.64811e+020	4.83748e+020	7.09795e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.45	6.48242e+020	6.45654e+020	6.66223e+020	4.81092e+020	7.12188e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.46	6.49277e+020	6.46631e+020	6.67634e+020	4.78437e+020	7.14579e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.47	6.50312e+020	6.47607e+020	6.69045e+020	4.75784e+020	7.16967e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.48	6.51348e+020	6.48585e+020	6.70455e+020	4.73133e+020	7.19353e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.49	6.52384e+020	6.49562e+020	6.71865e+020	4.70484e+020	7.21736e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.5	6.5342e+020	6.5054e+020	6.73274e+020	4.67836e+020	7.24117e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.51	6.54457e+020	6.51519e+020	6.74683e+020	4.65191e+020	7.26495e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
0.52	6.55495e+020	6.52498e+020	6.76091e+020	4.62547e+020	7.28871e+020	0	0	3.07129e+021	1.20443e+020	1.20443e+020	6.02214e+020	3.01107e+021	3.01107e+021	1
