NoName[Time]	construct_null[ParticleNumber]	construct_pls1con_rbsA_cIts[ParticleNumber]	construct_mRNA_rbsA_cIts[ParticleNumber]	construct_protein_cIts[ParticleNumber]	construct_pls1con_rbsA_cIts_x[ParticleNumber]	compartment1[Volume]	binding_rate[Value]	release_rate[Value]	k_pls1con_transcription[Value]	k_pls1con_transcription_x[Value]	k_rbsA_translation[Value]	k_cIts_mRNA_degr[Value]	k_cIts_protein_degr[Value]
0	0	6.02214e+023	0	0	0	1	1	0.9	50	0.00833333	25	1	0.1
0.01	1.50022e+021	6.02214e+023	2.99482e+023	3.73809e+022	1.2454e+020	1	1	0.9	50	0.00833333	25	1	0.1
0.02	5.97725e+021	6.02214e+023	5.95248e+023	1.48443e+023	9.88774e+020	1	1	0.9	50	0.00833333	25	1	0.1
0.03	1.33905e+022	6.02214e+023	8.8662e+023	3.31452e+023	3.31106e+021	1	1	0.9	50	0.00833333	25	1	0.1
0.04	2.36928e+022	6.02214e+023	1.17295e+024	5.84536e+023	7.78536e+021	1	1	0.9	50	0.00833333	25	1	0.1
0.05	3.68307e+022	6.02214e+023	1.45362e+024	9.05687e+023	1.50801e+022	1	1	0.9	50	0.00833333	25	1	0.1
0.06	5.27445e+022	6.02214e+023	1.72806e+024	1.29278e+024	2.58371e+022	1	1	0.9	50	0.00833333	25	1	0.1
0.07	7.13693e+022	6.02214e+023	1.99571e+024	1.74356e+024	4.06707e+022	1	1	0.9	50	0.00833333	25	1	0.1
0.08	9.26344e+022	6.02214e+023	2.25606e+024	2.25569e+024	6.01668e+022	1	1	0.9	50	0.00833333	25	1	0.1
0.09	1.16464e+023	6.02214e+023	2.50862e+024	2.82673e+024	8.48822e+022	1	1	0.9	50	0.00833333	25	1	0.1
0.1	1.42779e+023	6.02214e+023	2.75295e+024	3.45414e+024	1.15344e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.11	1.71495e+023	6.02214e+023	2.98863e+024	4.13531e+024	1.52049e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.12	2.02522e+023	6.02214e+023	3.2153e+024	4.86758e+024	1.95464e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.13	2.35769e+023	6.02214e+023	3.4326e+024	5.64821e+024	2.46022e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.14	2.71142e+023	6.02214e+023	3.64023e+024	6.47441e+024	3.04129e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.15	3.08541e+023	6.02214e+023	3.83791e+024	7.34336e+024	3.70155e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.16	3.47866e+023	6.02214e+023	4.02541e+024	8.25221e+024	4.44441e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.17	3.89014e+023	6.02214e+023	4.20251e+024	9.19806e+024	5.27297e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.18	4.31881e+023	6.02214e+023	4.36905e+024	1.0178e+025	6.18998e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.19	4.76359e+023	6.02214e+023	4.52488e+024	1.11892e+025	7.19792e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.2	5.22342e+023	6.02214e+023	4.66991e+024	1.22287e+025	8.29892e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.21	5.69721e+023	6.02214e+023	4.80404e+024	1.32935e+025	9.49484e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.22	6.18387e+023	6.02214e+023	4.92725e+024	1.4381e+025	1.07872e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.23	6.6823e+023	6.02214e+023	5.03951e+024	1.5488e+025	1.21772e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.24	7.19141e+023	6.02214e+023	5.14084e+024	1.66119e+025	1.36659e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.25	7.7101e+023	6.02214e+023	5.23129e+024	1.77499e+025	1.52538e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.26	8.2373e+023	6.02214e+023	5.31092e+024	1.88991e+025	1.69414e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.27	8.77193e+023	6.02214e+023	5.37983e+024	2.0057e+025	1.87287e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.28	9.31292e+023	6.02214e+023	5.43815e+024	2.12207e+025	2.06155e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.29	9.85921e+023	6.02214e+023	5.48603e+024	2.23879e+025	2.26015e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.3	1.04098e+024	6.02214e+023	5.52363e+024	2.35559e+025	2.4686e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.31	1.09636e+024	6.02214e+023	5.55116e+024	2.47222e+025	2.6868e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.32	1.15197e+024	6.02214e+023	5.56882e+024	2.58846e+025	2.91464e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.33	1.2077e+024	6.02214e+023	5.57685e+024	2.70406e+025	3.15198e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.34	1.26347e+024	6.02214e+023	5.57551e+024	2.81882e+025	3.39866e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.35	1.31918e+024	6.02214e+023	5.56506e+024	2.93251e+025	3.6545e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.36	1.37475e+024	6.02214e+023	5.5458e+024	3.04493e+025	3.91931e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.37	1.43007e+024	6.02214e+023	5.51802e+024	3.15589e+025	4.19287e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.38	1.48508e+024	6.02214e+023	5.48205e+024	3.2652e+025	4.47494e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.39	1.53969e+024	6.02214e+023	5.43822e+024	3.37269e+025	4.76527e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.4	1.59382e+024	6.02214e+023	5.38686e+024	3.47818e+025	5.06361e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.41	1.6474e+024	6.02214e+023	5.32832e+024	3.58153e+025	5.36967e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.42	1.70036e+024	6.02214e+023	5.26297e+024	3.68259e+025	5.68316e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.43	1.75264e+024	6.02214e+023	5.19118e+024	3.78122e+025	6.00379e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.44	1.80417e+024	6.02214e+023	5.11331e+024	3.87729e+025	6.33123e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.45	1.85489e+024	6.02214e+023	5.02976e+024	3.9707e+025	6.66518e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.46	1.90474e+024	6.02214e+023	4.9409e+024	4.06133e+025	7.00529e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.47	1.95369e+024	6.02214e+023	4.84711e+024	4.14909e+025	7.35123e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.48	2.00167e+024	6.02214e+023	4.7488e+024	4.23391e+025	7.70267e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.49	2.04865e+024	6.02214e+023	4.64635e+024	4.3157e+025	8.05925e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.5	2.09458e+024	6.02214e+023	4.54015e+024	4.3944e+025	8.42062e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.51	2.13944e+024	6.02214e+023	4.43058e+024	4.46996e+025	8.78644e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.52	2.18319e+024	6.02214e+023	4.31804e+024	4.54233e+025	9.15634e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.53	2.22579e+024	6.02214e+023	4.20291e+024	4.61148e+025	9.52997e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.54	2.26724e+024	6.02214e+023	4.08557e+024	4.67739e+025	9.90698e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.55	2.3075e+024	6.02214e+023	3.96638e+024	4.74004e+025	1.0287e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.56	2.34656e+024	6.02214e+023	3.84573e+024	4.79943e+025	1.06697e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.57	2.38441e+024	6.02214e+023	3.72397e+024	4.85555e+025	1.10547e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.58	2.42104e+024	6.02214e+023	3.60146e+024	4.90842e+025	1.14417e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.59	2.45644e+024	6.02214e+023	3.47854e+024	4.95806e+025	1.18303e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.6	2.49061e+024	6.02214e+023	3.35555e+024	5.00449e+025	1.22203e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.61	2.52355e+024	6.02214e+023	3.23281e+024	5.04776e+025	1.26112e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.62	2.55527e+024	6.02214e+023	3.11066e+024	5.08789e+025	1.30027e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.63	2.58577e+024	6.02214e+023	2.98939e+024	5.12495e+025	1.33946e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.64	2.61506e+024	6.02214e+023	2.86929e+024	5.15899e+025	1.37865e+025	1	1	0.9	50	0.00833333	25	1	0.1
