NoName[Time]	construct_null[ParticleNumber]	construct_pls1con_rbsA_cIts[ParticleNumber]	construct_mRNA_rbsA_cIts[ParticleNumber]	construct_protein_cIts[ParticleNumber]	construct_pls1con_rbsA_cIts_x[ParticleNumber]	compartment1[Volume]	binding_rate[Value]	release_rate[Value]	k_pls1con_transcription[Value]	k_pls1con_transcription_x[Value]	k_rbsA_translation[Value]	k_cIts_mRNA_degr[Value]	k_cIts_protein_degr[Value]
0	0	6.02214e+023	0	0	0	1	1	0.9	50	0.00833333	25	1	0.1
0.2	5.22342e+023	6.02214e+023	4.66991e+024	1.22287e+025	8.29892e+023	1	1	0.9	50	0.00833333	25	1	0.1
0.4	1.59382e+024	6.02214e+023	5.38686e+024	3.47818e+025	5.06361e+024	1	1	0.9	50	0.00833333	25	1	0.1
0.6	2.49061e+024	6.02214e+023	3.35555e+024	5.00449e+025	1.22203e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.8	2.9378e+024	6.02214e+023	1.30129e+024	5.35954e+025	1.98495e+025	1	1	0.9	50	0.00833333	25	1	0.1
1	3.11696e+024	6.02214e+023	7.67111e+023	5.16975e+025	2.62266e+025	1	1	0.9	50	0.00833333	25	1	0.1
1.2	3.32978e+024	6.02214e+023	1.48263e+024	5.1924e+025	3.13204e+025	1	1	0.9	50	0.00833333	25	1	0.1
1.4	3.72003e+024	6.02214e+023	2.36393e+024	5.69297e+025	3.6071e+025	1	1	0.9	50	0.00833333	25	1	0.1
1.6	4.23583e+024	6.02214e+023	2.6804e+024	6.46347e+025	4.12609e+025	1	1	0.9	50	0.00833333	25	1	0.1
1.8	4.75443e+024	6.02214e+023	2.44447e+024	7.18603e+025	4.70004e+025	1	1	0.9	50	0.00833333	25	1	0.1
2	5.20501e+024	6.02214e+023	2.07531e+024	7.71842e+025	5.29411e+025	1	1	0.9	50	0.00833333	25	1	0.1
2.2	5.59869e+024	6.02214e+023	1.90703e+024	8.12295e+025	5.87378e+025	1	1	0.9	50	0.00833333	25	1	0.1
2.4	5.98415e+024	6.02214e+023	1.97679e+024	8.52989e+025	6.43048e+025	1	1	0.9	50	0.00833333	25	1	0.1
2.6	6.39477e+024	6.02214e+023	2.12778e+024	9.0104e+025	6.97653e+025	1	1	0.9	50	0.00833333	25	1	0.1
2.8	6.83048e+024	6.02214e+023	2.21157e+024	9.54941e+025	7.52679e+025	1	1	0.9	50	0.00833333	25	1	0.1
3	7.27251e+024	6.02214e+023	2.19521e+024	1.00948e+026	8.08644e+025	1	1	0.9	50	0.00833333	25	1	0.1
3.2	7.70564e+024	6.02214e+023	2.13499e+024	1.06127e+026	8.65136e+025	1	1	0.9	50	0.00833333	25	1	0.1
3.4	8.12798e+024	6.02214e+023	2.09515e+024	1.11046e+026	9.21533e+025	1	1	0.9	50	0.00833333	25	1	0.1
3.6	8.54653e+024	6.02214e+023	2.09644e+024	1.15908e+026	9.77556e+025	1	1	0.9	50	0.00833333	25	1	0.1
3.8	8.96804e+024	6.02214e+023	2.11979e+024	1.20868e+026	1.03333e+026	1	1	0.9	50	0.00833333	25	1	0.1
4	9.39407e+024	6.02214e+023	2.13808e+024	1.25941e+026	1.08911e+026	1	1	0.9	50	0.00833333	25	1	0.1
4.2	9.82213e+024	6.02214e+023	2.13989e+024	1.3105e+026	1.14503e+026	1	1	0.9	50	0.00833333	25	1	0.1
4.4	1.02493e+025	6.02214e+023	2.13112e+024	1.36126e+026	1.20107e+026	1	1	0.9	50	0.00833333	25	1	0.1
4.6	1.06746e+025	6.02214e+023	2.12298e+024	1.41154e+026	1.25712e+026	1	1	0.9	50	0.00833333	25	1	0.1
4.8	1.10989e+025	6.02214e+023	2.12125e+024	1.46162e+026	1.31311e+026	1	1	0.9	50	0.00833333	25	1	0.1
5	1.15235e+025	6.02214e+023	2.12441e+024	1.51181e+026	1.36906e+026	1	1	0.9	50	0.00833333	25	1	0.1
5.2	1.19487e+025	6.02214e+023	2.12794e+024	1.56219e+026	1.42499e+026	1	1	0.9	50	0.00833333	25	1	0.1
5.4	1.23745e+025	6.02214e+023	2.12905e+024	1.61268e+026	1.48094e+026	1	1	0.9	50	0.00833333	25	1	0.1
5.6	1.28002e+025	6.02214e+023	2.12798e+024	1.66313e+026	1.53692e+026	1	1	0.9	50	0.00833333	25	1	0.1
5.8	1.32256e+025	6.02214e+023	2.12649e+024	1.71351e+026	1.5929e+026	1	1	0.9	50	0.00833333	25	1	0.1
6	1.36509e+025	6.02214e+023	2.12587e+024	1.76384e+026	1.64888e+026	1	1	0.9	50	0.00833333	25	1	0.1
6.2	1.40761e+025	6.02214e+023	2.1262e+024	1.81417e+026	1.70484e+026	1	1	0.9	50	0.00833333	25	1	0.1
6.4	1.45014e+025	6.02214e+023	2.12681e+024	1.86454e+026	1.7608e+026	1	1	0.9	50	0.00833333	25	1	0.1
6.6	1.49268e+025	6.02214e+023	2.12713e+024	1.91492e+026	1.81677e+026	1	1	0.9	50	0.00833333	25	1	0.1
6.8	1.53522e+025	6.02214e+023	2.12704e+024	1.96531e+026	1.87274e+026	1	1	0.9	50	0.00833333	25	1	0.1
7	1.57776e+025	6.02214e+023	2.1268e+024	2.01569e+026	1.92871e+026	1	1	0.9	50	0.00833333	25	1	0.1
7.2	1.62029e+025	6.02214e+023	2.12665e+024	2.06605e+026	1.98468e+026	1	1	0.9	50	0.00833333	25	1	0.1
7.4	1.66282e+025	6.02214e+023	2.12666e+024	2.11642e+026	2.04064e+026	1	1	0.9	50	0.00833333	25	1	0.1
7.6	1.70536e+025	6.02214e+023	2.12675e+024	2.16678e+026	2.09661e+026	1	1	0.9	50	0.00833333	25	1	0.1
7.8	1.74789e+025	6.02214e+023	2.12682e+024	2.21716e+026	2.15258e+026	1	1	0.9	50	0.00833333	25	1	0.1
8	1.79043e+025	6.02214e+023	2.12682e+024	2.26753e+026	2.20855e+026	1	1	0.9	50	0.00833333	25	1	0.1
8.2	1.83297e+025	6.02214e+023	2.1268e+024	2.3179e+026	2.26451e+026	1	1	0.9	50	0.00833333	25	1	0.1
8.4	1.8755e+025	6.02214e+023	2.12677e+024	2.36827e+026	2.32048e+026	1	1	0.9	50	0.00833333	25	1	0.1
8.6	1.91804e+025	6.02214e+023	2.12676e+024	2.41864e+026	2.37645e+026	1	1	0.9	50	0.00833333	25	1	0.1
8.8	1.96057e+025	6.02214e+023	2.12676e+024	2.46901e+026	2.43242e+026	1	1	0.9	50	0.00833333	25	1	0.1
9	2.00311e+025	6.02214e+023	2.12678e+024	2.51939e+026	2.48839e+026	1	1	0.9	50	0.00833333	25	1	0.1
9.2	2.04564e+025	6.02214e+023	2.12679e+024	2.56976e+026	2.54435e+026	1	1	0.9	50	0.00833333	25	1	0.1
9.4	2.08818e+025	6.02214e+023	2.12679e+024	2.62013e+026	2.60032e+026	1	1	0.9	50	0.00833333	25	1	0.1
9.6	2.13072e+025	6.02214e+023	2.12678e+024	2.6705e+026	2.65629e+026	1	1	0.9	50	0.00833333	25	1	0.1
9.8	2.17325e+025	6.02214e+023	2.12678e+024	2.72087e+026	2.71226e+026	1	1	0.9	50	0.00833333	25	1	0.1
10	2.21579e+025	6.02214e+023	2.12677e+024	2.77124e+026	2.76822e+026	1	1	0.9	50	0.00833333	25	1	0.1
10.2	2.25832e+025	6.02214e+023	2.12677e+024	2.82161e+026	2.82419e+026	1	1	0.9	50	0.00833333	25	1	0.1
10.4	2.30086e+025	6.02214e+023	2.12678e+024	2.87198e+026	2.88016e+026	1	1	0.9	50	0.00833333	25	1	0.1
10.6	2.34339e+025	6.02214e+023	2.12678e+024	2.92235e+026	2.93613e+026	1	1	0.9	50	0.00833333	25	1	0.1
10.8	2.38593e+025	6.02214e+023	2.12678e+024	2.97273e+026	2.9921e+026	1	1	0.9	50	0.00833333	25	1	0.1
11	2.42846e+025	6.02214e+023	2.12678e+024	3.0231e+026	3.04806e+026	1	1	0.9	50	0.00833333	25	1	0.1
11.2	2.471e+025	6.02214e+023	2.12677e+024	3.07347e+026	3.10403e+026	1	1	0.9	50	0.00833333	25	1	0.1
11.4	2.51354e+025	6.02214e+023	2.12677e+024	3.12384e+026	3.16e+026	1	1	0.9	50	0.00833333	25	1	0.1
11.6	2.55607e+025	6.02214e+023	2.12678e+024	3.17421e+026	3.21597e+026	1	1	0.9	50	0.00833333	25	1	0.1
11.8	2.59861e+025	6.02214e+023	2.12678e+024	3.22458e+026	3.27194e+026	1	1	0.9	50	0.00833333	25	1	0.1
12	2.64114e+025	6.02214e+023	2.12678e+024	3.27495e+026	3.3279e+026	1	1	0.9	50	0.00833333	25	1	0.1
12.2	2.68368e+025	6.02214e+023	2.12678e+024	3.32532e+026	3.38387e+026	1	1	0.9	50	0.00833333	25	1	0.1
12.4	2.72621e+025	6.02214e+023	2.12678e+024	3.37569e+026	3.43984e+026	1	1	0.9	50	0.00833333	25	1	0.1
12.6	2.76875e+025	6.02214e+023	2.12677e+024	3.42607e+026	3.49581e+026	1	1	0.9	50	0.00833333	25	1	0.1
12.8	2.81128e+025	6.02214e+023	2.12677e+024	3.47644e+026	3.55177e+026	1	1	0.9	50	0.00833333	25	1	0.1
13	2.85382e+025	6.02214e+023	2.12678e+024	3.52681e+026	3.60774e+026	1	1	0.9	50	0.00833333	25	1	0.1
13.2	2.89636e+025	6.02214e+023	2.12678e+024	3.57718e+026	3.66371e+026	1	1	0.9	50	0.00833333	25	1	0.1
13.4	2.93889e+025	6.02214e+023	2.12678e+024	3.62755e+026	3.71968e+026	1	1	0.9	50	0.00833333	25	1	0.1
13.6	2.98143e+025	6.02214e+023	2.12678e+024	3.67792e+026	3.77565e+026	1	1	0.9	50	0.00833333	25	1	0.1
13.8	3.02396e+025	6.02214e+023	2.12678e+024	3.72829e+026	3.83161e+026	1	1	0.9	50	0.00833333	25	1	0.1
14	3.0665e+025	6.02214e+023	2.12678e+024	3.77866e+026	3.88758e+026	1	1	0.9	50	0.00833333	25	1	0.1
14.2	3.10903e+025	6.02214e+023	2.12678e+024	3.82903e+026	3.94355e+026	1	1	0.9	50	0.00833333	25	1	0.1
14.4	3.15157e+025	6.02214e+023	2.12678e+024	3.8794e+026	3.99952e+026	1	1	0.9	50	0.00833333	25	1	0.1
14.6	3.1941e+025	6.02214e+023	2.12678e+024	3.92978e+026	4.05549e+026	1	1	0.9	50	0.00833333	25	1	0.1
14.8	3.23664e+025	6.02214e+023	2.12678e+024	3.98015e+026	4.11145e+026	1	1	0.9	50	0.00833333	25	1	0.1
15	3.27918e+025	6.02214e+023	2.12678e+024	4.03052e+026	4.16742e+026	1	1	0.9	50	0.00833333	25	1	0.1
15.2	3.32171e+025	6.02214e+023	2.12678e+024	4.08089e+026	4.22339e+026	1	1	0.9	50	0.00833333	25	1	0.1
15.4	3.36425e+025	6.02214e+023	2.12677e+024	4.13126e+026	4.27936e+026	1	1	0.9	50	0.00833333	25	1	0.1
15.6	3.40678e+025	6.02214e+023	2.12677e+024	4.18163e+026	4.33532e+026	1	1	0.9	50	0.00833333	25	1	0.1
15.8	3.44932e+025	6.02214e+023	2.12677e+024	4.232e+026	4.39129e+026	1	1	0.9	50	0.00833333	25	1	0.1
16	3.49185e+025	6.02214e+023	2.12678e+024	4.28237e+026	4.44726e+026	1	1	0.9	50	0.00833333	25	1	0.1
16.2	3.53439e+025	6.02214e+023	2.12678e+024	4.33274e+026	4.50323e+026	1	1	0.9	50	0.00833333	25	1	0.1
16.4	3.57692e+025	6.02214e+023	2.12678e+024	4.38312e+026	4.5592e+026	1	1	0.9	50	0.00833333	25	1	0.1
16.6	3.61946e+025	6.02214e+023	2.12678e+024	4.43349e+026	4.61516e+026	1	1	0.9	50	0.00833333	25	1	0.1
16.8	3.662e+025	6.02214e+023	2.12678e+024	4.48386e+026	4.67113e+026	1	1	0.9	50	0.00833333	25	1	0.1
17	3.70453e+025	6.02214e+023	2.12678e+024	4.53423e+026	4.7271e+026	1	1	0.9	50	0.00833333	25	1	0.1
17.2	3.74707e+025	6.02214e+023	2.12678e+024	4.5846e+026	4.78307e+026	1	1	0.9	50	0.00833333	25	1	0.1
17.4	3.7896e+025	6.02214e+023	2.12678e+024	4.63497e+026	4.83904e+026	1	1	0.9	50	0.00833333	25	1	0.1
17.6	3.83214e+025	6.02214e+023	2.12678e+024	4.68534e+026	4.895e+026	1	1	0.9	50	0.00833333	25	1	0.1
17.8	3.87467e+025	6.02214e+023	2.12678e+024	4.73571e+026	4.95097e+026	1	1	0.9	50	0.00833333	25	1	0.1
18	3.91721e+025	6.02214e+023	2.12678e+024	4.78608e+026	5.00694e+026	1	1	0.9	50	0.00833333	25	1	0.1
18.2	3.95974e+025	6.02214e+023	2.12678e+024	4.83646e+026	5.06291e+026	1	1	0.9	50	0.00833333	25	1	0.1
18.4	4.00228e+025	6.02214e+023	2.12678e+024	4.88683e+026	5.11887e+026	1	1	0.9	50	0.00833333	25	1	0.1
18.6	4.04482e+025	6.02214e+023	2.12678e+024	4.9372e+026	5.17484e+026	1	1	0.9	50	0.00833333	25	1	0.1
18.8	4.08735e+025	6.02214e+023	2.12678e+024	4.98757e+026	5.23081e+026	1	1	0.9	50	0.00833333	25	1	0.1
19	4.12989e+025	6.02214e+023	2.12678e+024	5.03794e+026	5.28678e+026	1	1	0.9	50	0.00833333	25	1	0.1
19.2	4.17242e+025	6.02214e+023	2.12678e+024	5.08831e+026	5.34275e+026	1	1	0.9	50	0.00833333	25	1	0.1
19.4	4.21496e+025	6.02214e+023	2.12678e+024	5.13868e+026	5.39871e+026	1	1	0.9	50	0.00833333	25	1	0.1
19.6	4.25749e+025	6.02214e+023	2.12678e+024	5.18905e+026	5.45468e+026	1	1	0.9	50	0.00833333	25	1	0.1
19.8	4.30003e+025	6.02214e+023	2.12678e+024	5.23942e+026	5.51065e+026	1	1	0.9	50	0.00833333	25	1	0.1
20	4.34257e+025	6.02214e+023	2.12678e+024	5.2898e+026	5.56662e+026	1	1	0.9	50	0.00833333	25	1	0.1
20.2	4.3851e+025	6.02214e+023	2.12678e+024	5.34017e+026	5.62259e+026	1	1	0.9	50	0.00833333	25	1	0.1
20.4	4.42764e+025	6.02214e+023	2.12678e+024	5.39054e+026	5.67855e+026	1	1	0.9	50	0.00833333	25	1	0.1
20.6	4.47017e+025	6.02214e+023	2.12678e+024	5.44091e+026	5.73452e+026	1	1	0.9	50	0.00833333	25	1	0.1
20.8	4.51271e+025	6.02214e+023	2.12678e+024	5.49128e+026	5.79049e+026	1	1	0.9	50	0.00833333	25	1	0.1
21	4.55524e+025	6.02214e+023	2.12678e+024	5.54165e+026	5.84646e+026	1	1	0.9	50	0.00833333	25	1	0.1
21.2	4.59778e+025	6.02214e+023	2.12678e+024	5.59202e+026	5.90242e+026	1	1	0.9	50	0.00833333	25	1	0.1
21.4	4.64031e+025	6.02214e+023	2.12678e+024	5.64239e+026	5.95839e+026	1	1	0.9	50	0.00833333	25	1	0.1
21.6	4.68285e+025	6.02214e+023	2.12678e+024	5.69276e+026	6.01436e+026	1	1	0.9	50	0.00833333	25	1	0.1
21.8	4.72539e+025	6.02214e+023	2.12678e+024	5.74313e+026	6.07033e+026	1	1	0.9	50	0.00833333	25	1	0.1
22	4.76792e+025	6.02214e+023	2.12678e+024	5.79351e+026	6.1263e+026	1	1	0.9	50	0.00833333	25	1	0.1
22.2	4.81046e+025	6.02214e+023	2.12678e+024	5.84388e+026	6.18226e+026	1	1	0.9	50	0.00833333	25	1	0.1
22.4	4.85299e+025	6.02214e+023	2.12678e+024	5.89425e+026	6.23823e+026	1	1	0.9	50	0.00833333	25	1	0.1
22.6	4.89553e+025	6.02214e+023	2.12678e+024	5.94462e+026	6.2942e+026	1	1	0.9	50	0.00833333	25	1	0.1
22.8	4.93806e+025	6.02214e+023	2.12678e+024	5.99499e+026	6.35017e+026	1	1	0.9	50	0.00833333	25	1	0.1
23	4.9806e+025	6.02214e+023	2.12678e+024	6.04536e+026	6.40614e+026	1	1	0.9	50	0.00833333	25	1	0.1
23.2	5.02313e+025	6.02214e+023	2.12678e+024	6.09573e+026	6.4621e+026	1	1	0.9	50	0.00833333	25	1	0.1
23.4	5.06567e+025	6.02214e+023	2.12678e+024	6.1461e+026	6.51807e+026	1	1	0.9	50	0.00833333	25	1	0.1
23.6	5.10821e+025	6.02214e+023	2.12678e+024	6.19647e+026	6.57404e+026	1	1	0.9	50	0.00833333	25	1	0.1
23.8	5.15074e+025	6.02214e+023	2.12678e+024	6.24685e+026	6.63001e+026	1	1	0.9	50	0.00833333	25	1	0.1
24	5.19328e+025	6.02214e+023	2.12678e+024	6.29722e+026	6.68597e+026	1	1	0.9	50	0.00833333	25	1	0.1
24.2	5.23581e+025	6.02214e+023	2.12678e+024	6.34759e+026	6.74194e+026	1	1	0.9	50	0.00833333	25	1	0.1
24.4	5.27835e+025	6.02214e+023	2.12678e+024	6.39796e+026	6.79791e+026	1	1	0.9	50	0.00833333	25	1	0.1
24.6	5.32088e+025	6.02214e+023	2.12678e+024	6.44833e+026	6.85388e+026	1	1	0.9	50	0.00833333	25	1	0.1
24.8	5.36342e+025	6.02214e+023	2.12678e+024	6.4987e+026	6.90985e+026	1	1	0.9	50	0.00833333	25	1	0.1
25	5.40595e+025	6.02214e+023	2.12678e+024	6.54907e+026	6.96581e+026	1	1	0.9	50	0.00833333	25	1	0.1
25.2	5.44849e+025	6.02214e+023	2.12678e+024	6.59944e+026	7.02178e+026	1	1	0.9	50	0.00833333	25	1	0.1
25.4	5.49103e+025	6.02214e+023	2.12678e+024	6.64981e+026	7.07775e+026	1	1	0.9	50	0.00833333	25	1	0.1
25.6	5.53356e+025	6.02214e+023	2.12678e+024	6.70019e+026	7.13372e+026	1	1	0.9	50	0.00833333	25	1	0.1
25.8	5.5761e+025	6.02214e+023	2.12678e+024	6.75056e+026	7.18969e+026	1	1	0.9	50	0.00833333	25	1	0.1
26	5.61863e+025	6.02214e+023	2.12678e+024	6.80093e+026	7.24565e+026	1	1	0.9	50	0.00833333	25	1	0.1
26.2	5.66117e+025	6.02214e+023	2.12678e+024	6.8513e+026	7.30162e+026	1	1	0.9	50	0.00833333	25	1	0.1
26.4	5.7037e+025	6.02214e+023	2.12678e+024	6.90167e+026	7.35759e+026	1	1	0.9	50	0.00833333	25	1	0.1
26.6	5.74624e+025	6.02214e+023	2.12678e+024	6.95204e+026	7.41356e+026	1	1	0.9	50	0.00833333	25	1	0.1
26.8	5.78877e+025	6.02214e+023	2.12678e+024	7.00241e+026	7.46952e+026	1	1	0.9	50	0.00833333	25	1	0.1
27	5.83131e+025	6.02214e+023	2.12678e+024	7.05278e+026	7.52549e+026	1	1	0.9	50	0.00833333	25	1	0.1
